StateCode,NCESSCH,PCT_BACH,PCT_ADVC,P_EXPLT6,P_EXPGT5,MEAN_EXP,M_BSALT6,M_BSAGT5,M_BSAL
4,40306000679,71.8,28.2,51.3,48.7,7,38800,46422,42513
4,40306001159,71,29,61.3,38.7,6,38989,43907,40893
4,40306002355,64.7,35.3,47.1,52.9,11,38234,49519,44208
4,40306002495,67.9,32.1,50,50,7,36879,46693,41786
4,40306003084,66.7,33.3,75,25,4,38497,46423,40478
4,40306003085,65.9,34.1,68.3,31.7,5,37860,45820,40384
4,40308000241,62.5,37.5,0,100,12,-2,42175,42175
4,40308000242,-1,0,0,-1,-1,-2,-1,-1
4,40315000244,48.3,51.7,-1,96.6,19,-1,59193,58646
4,40315000245,30.4,69.6,-1,91.3,18,-1,56877,55503
4,40315000247,60,40,-1,96,14,-1,50945,50419
4,40320000248,71,29,32.3,67.7,12,34045,40565,38462
4,40320000249,84.6,-1,-1,84.6,16,-1,42094,41478
4,40324000250,60.9,39.1,26.1,73.9,10,34291,43385,41012
4,40324001101,64,36,44,56,7,34186,45223,40366
4,40324001108,75,-1,-1,-1,7,-1,-1,37117
4,40324001213,36.7,63.3,23.3,76.7,9,34864,41794,40177
4,40324001806,72.4,27.6,58.6,41.4,7,34826,41854,37734
4,40324002388,81.5,18.5,29.6,70.4,8,35399,40862,39243
4,40324002389,72.7,27.3,45.5,54.5,8,34360,42137,38602
4,40324003066,68.8,31.3,18.8,81.3,7,34557,39676,38716
4,40324003116,57.6,42.4,36.4,63.6,7,35047,40469,38497
4,40329000251,62.1,34.5,20.7,79.3,12,37118,50298,47571
4,40329000252,62.5,32.5,42.5,57.5,7,39631,44124,42215
4,40329000253,64,28,40,60,9,33762,47677,42111
4,40329000254,72.7,27.3,63.6,36.4,8,37744,51097,42600
4,40331000255,80,20,35,65,11,35154,39447,37945
4,40331000256,77.8,-1,55.6,44.4,12,30962,32337,31573
4,40340000246,31.8,68.2,30.4,69.6,10,35738,46012,42888
4,40340000257,31.4,68.6,29.4,70.6,12,33090,49652,44781
4,40340000258,36.7,63.3,31.1,68.9,11,35351,47726,43881
4,40340000259,51,49,34.7,65.3,10,34771,46043,42132
4,40340000260,60.5,39.5,55.3,44.7,6,35224,45108,39646
4,40340000261,36.4,63.6,21.2,78.8,11,35524,46596,44247
4,40340000265,35.3,64.7,38.2,61.8,8,35126,45820,41731
4,40340000594,61.2,38.8,46.9,53.1,6,34477,40346,37591
4,40340000595,62.5,37.5,50,50,7,33882,43468,38675
4,40340000596,58.3,41.7,47.2,52.8,7,34960,42468,38922
4,40340000601,55.9,44.1,50,50,7,34641,45356,39999
4,40340000602,52.3,47.7,40.9,59.1,7,34222,41914,38767
4,40340001064,35.5,64.5,48.4,51.6,7,35373,45254,40473
4,40340001191,35.7,64.3,78.6,21.4,4,35960,41235,37090
4,40340001192,46.5,53.5,32.6,67.4,9,35184,44393,41395
4,40340001215,56.8,43.2,56.8,43.2,8,34826,46739,39978
4,40340001216,45.1,54.9,49,51,7,35441,43071,39331
4,40340001365,47.4,52.6,44.7,55.3,9,35117,48151,42320
4,40340001366,31.1,68.9,42.2,57.8,9,34462,49416,43102
